15 5973 19852
0 97 -0.0307369 0.15196
1 97 -0.0158633 0.099998
0 98 -0.026662 0.15196
1 98 -0.0121959 0.099998
0 99 0.346196 0.152979
1 99 0.352309 0.102036
0 100 0.0191812 0.157054
1 100 0.0314061 0.102036
0 101 0.0222374 0.157054
1 101 0.0342586 0.102443
0 102 -0.0602803 0.158073
1 102 -0.0429618 0.112224
0 103 0.222929 0.158073
1 103 0.231079 0.109779
0 104 0.241266 0.159092
1 104 0.251861 0.113447
0 105 -0.0562054 0.162149
1 105 -0.0390905 0.117115
0 106 -0.0714865 0.164186
1 106 -0.0525773 0.129182
0 107 0.0477059 0.166224
1 107 0.058912 0.111205
0 108 0.0538183 0.166224
1 108 0.0650245 0.111205
0 109 0.25451 0.167243
1 109 0.265716 0.126488
0 110 0.217835 0.170299
1 110 0.227411 0.122005
0 111 0.0477059 0.171318
1 111 0.058912 0.117319
0 112 -0.0643553 0.172337
1 112 -0.046018 0.128526
0 113 0.0548371 0.172337
1 113 0.0660432 0.118337
0 114 0.365552 0.172337
1 114 0.370646 0.120375
0 115 -0.0704677 0.174375
1 115 -0.0525379 0.130564
0 116 -0.0612991 0.175394
1 116 -0.0439805 0.130564
0 117 -0.0612991 0.181507
1 117 -0.0439805 0.136677
0 118 0.338046 0.185582
1 118 0.34314 0.132602
0 119 -0.0623178 0.186601
1 119 -0.0449993 0.14279
0 120 -0.0592616 0.189658
1 120 -0.0419431 0.145847
0 121 0.0568745 0.190677
1 121 0.0680807 0.137696
0 122 0.216816 0.190677
1 122 0.227004 0.144828
0 123 -0.0541679 0.191696
1 123 -0.0366456 0.148903
0 124 0.216816 0.192714
1 124 0.227004 0.147884
0 125 -0.0582429 0.193733
1 125 -0.0419431 0.148903
0 126 -0.0531492 0.195771
1 126 -0.0368494 0.150941
0 127 -0.0551866 0.19679
1 127 -0.0378681 0.153998
0 128 -0.0511117 0.19679
1 128 -0.0337931 0.152979
0 129 0.384908 0.19679
1 129 0.388983 0.143809
0 130 0.199498 0.20596
1 130 0.208667 0.16113
0 131 0.0762306 0.206978
1 131 0.0874367 0.155017
0 132 0.239229 0.206978
1 132 0.250639 0.167243
0 133 0.0507621 0.207997
1 133 0.0619682 0.156035
0 130 0.199498 0.207997
0 134 0.058912 0.209016
1 134 0.0697107 0.157462
0 135 0.211723 0.209016
1 135 0.222521 0.162352
0 136 0.233116 0.211054
